28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBB007;Elsterwerda;9;K;01.01.2017;27.05.2017;2;7;0;0;0;0;0;0;0;0;0;0
DEBB021;Potsdam-Zentrum;7;K;01.01.2017;27.05.2017;0;7;0;0;0;0;0;0;0;0;0;0
DEBB029;"Schwedt (Oder)";8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEBB032;Eisenhüttenstadt;12;K;01.01.2017;27.05.2017;3;9;0;0;0;0;0;0;0;0;0;0
DEBB044;"Cottbus, Bahnhofstr.";14;K;01.01.2017;27.05.2017;4;10;0;0;0;0;0;0;0;0;0;0
DEBB045;"Frankfurt (Oder), Leipziger Str.";13;K;01.01.2017;27.05.2017;3;10;0;0;0;0;0;0;0;0;0;0
DEBB048;Neuruppin;8;K;01.01.2017;27.05.2017;0;8;0;0;0;0;0;0;0;0;0;0
DEBB049;"Brandenburg, Neuendorfer Str.";14;K;01.01.2017;27.05.2017;3;11;0;0;0;0;0;0;0;0;0;0
DEBB053;Hasenholz;4;K;01.01.2017;27.05.2017;0;4;0;0;0;0;0;0;0;0;0;0
DEBB054;"Potsdam Zeppelinstr.";9;K;01.01.2017;27.05.2017;0;9;0;0;0;0;0;0;0;0;0;0
DEBB055;"Brandenburg a.d. Havel";5;K;01.01.2017;27.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
DEBB060;"Eberswalde Breite Straße";10;K;01.01.2017;27.05.2017;2;8;0;0;0;0;0;0;0;0;0;0
DEBB063;Wittenberge;1;K;01.01.2017;27.05.2017;0;1;0;0;0;0;0;0;0;0;0;0
DEBB064;Cottbus;8;K;01.01.2017;27.05.2017;0;8;0;0;0;0;0;0;0;0;0;0
DEBB065;"Lütte (Belzig)";5;K;01.01.2017;27.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
DEBB066;Spreewald;8;K;01.01.2017;27.05.2017;0;8;0;0;0;0;0;0;0;0;0;0
DEBB067;Nauen;4;K;01.01.2017;27.05.2017;0;4;0;0;0;0;0;0;0;0;0;0
DEBB068;"Bernau, Lohmühlenstr.";11;K;01.01.2017;27.05.2017;2;9;0;0;0;0;0;0;0;0;0;0
DEBB073;"Potsdam, Großbeerenstr.";7;K;01.01.2017;27.05.2017;0;7;0;0;0;0;0;0;0;0;0;0
DEBB075;"Potsdam, Groß Glienicke";6;K;01.01.2017;27.05.2017;0;6;0;0;0;0;0;0;0;0;0;0
DEBB083;Spremberg;5;K;01.01.2017;23.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
DEBB086;Blankenfelde-Mahlow;7;K;01.01.2017;27.05.2017;0;7;0;0;0;0;0;0;0;0;0;0
DEBB092;"Frankfurt (Oder)";12;K;01.01.2017;27.05.2017;3;9;0;0;0;0;0;0;0;0;0;0
DEBB099;"Herzfelde, Hauptstr.";9;K;01.01.2017;27.05.2017;1;8;0;0;0;0;0;0;0;0;0;0
DEBE010;"B Wedding-Amrumer Str.";10;K;01.01.2017;27.05.2017;0;10;0;0;0;0;0;0;0;0;0;0
DEBE032;"B Grunewald (3.5 m)";5;K;01.01.2017;27.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
